traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Major,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,"Ability Impaired, Alcohol",Yes,Yes,Yes,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Fatigue,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Minimal,Had Been Drinking,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,Minor,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,Fatal,Unknown,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Fatigue,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Fatigue,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Rain,Daylight,Wet,Fatal,None,Normal,None,None,None,None
No Control,Rain,Daylight,Wet,Fatal,Fatal,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,"Ability Impaired, Alcohol Over .08",Yes,Yes,Yes,None
Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,None,None,None,Yes,None
Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Minor,"Ability Impaired, Alcohol Over .08",None,None,Yes,None
Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,None,None,None,Yes,None
Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,Major,"Ability Impaired, Drugs",None,None,None,None
Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,"Ability Impaired, Alcohol",None,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,"Ability Impaired, Alcohol",None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,Yes,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Medical or Physical Disability,None,None,None,Yes
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Had Been Drinking,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,"Ability Impaired, Alcohol",None,Yes,Yes,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,Yes,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol",Yes,Yes,Yes,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,Yes,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,Yes,None
Stop Sign,Clear,Dark,Dry,Fatal,None,None,Yes,Yes,None,None
